,nama_kabupaten_kota,jumlah_siswa,tahun
0,Kabupaten Bandung,1433.0,2017
1,Kabupaten Bandung Barat,621.0,2017
2,Kabupaten Bekasi,1000.0,2017
3,Kabupaten Bogor,2508.0,2017
4,Kabupaten Ciamis,202.0,2017
5,Kabupaten Cianjur,940.0,2017
6,Kabupaten Cirebon,756.0,2017
7,Kabupaten Garut,847.0,2017
8,Kabupaten Indramayu,482.0,2017
9,Kabupaten Karawang,822.0,2017
10,Kabupaten Kuningan,189.0,2017
11,Kabupaten Majalengka,174.0,2017
12,Kabupaten Pangandaran,72.0,2017
13,Kabupaten Purwakarta,376.0,2017
14,Kabupaten Subang,387.0,2017
15,Kabupaten Sukabumi,545.0,2017
16,Kabupaten Sumedang,231.0,2017
17,Kabupaten Tasikmalaya,493.0,2017
18,Kota Bandung,873.0,2017
19,Kota Banjar,44.0,2017
20,Kota Bekasi,699.0,2017
21,Kota Bogor,246.0,2017
22,Kota Cimahi,132.0,2017
23,Kota Cirebon,195.0,2017
24,Kota Depok,347.0,2017
25,Kota Sukabumi,84.0,2017
26,Kota Tasikmalaya,147.0,2017
